InstrumentID,UpdateTime,LastPrice,PreSettlementPrice,PreClosePrice,PreOpenInterest,OpenPrice,HighestPrice,LowestPrice,Volume,Turnover,OpenInterest,ClosePrice,SettlementPrice
al1805,18:38:09,14445,14365,14415,289812,14365,14500,14365,135000,9.74704e+09,302108,1.79769e+308,1.79769e+308
al1805,18:38:10,14445,14365,14415,289812,14365,14500,14365,135000,9.74704e+09,302108,1.79769e+308,1.79769e+308
al1805,18:38:10,14445,14365,14415,289812,14365,14500,14365,135000,9.74704e+09,302108,1.79769e+308,1.79769e+308
al1805,18:38:11,14445,14365,14415,289812,14365,14500,14365,135000,9.74704e+09,302108,1.79769e+308,1.79769e+308
al1805,18:38:11,14445,14365,14415,289812,14365,14500,14365,135000,9.74704e+09,302108,1.79769e+308,1.79769e+308
al1805,18:38:12,14445,14365,14415,289812,14365,14500,14365,135000,9.74704e+09,302108,1.79769e+308,1.79769e+308
al1805,18:38:13,14445,14365,14415,289812,14365,14500,14365,135000,9.74704e+09,302108,1.79769e+308,1.79769e+308
al1805,18:38:14,14445,14365,14415,289812,14365,14500,14365,135000,9.74704e+09,302108,1.79769e+308,1.79769e+308
al1805,18:38:14,14445,14365,14415,289812,14365,14500,14365,135000,9.74704e+09,302108,1.79769e+308,1.79769e+308
al1805,18:38:15,14445,14365,14415,289812,14365,14500,14365,135000,9.74704e+09,302108,1.79769e+308,1.79769e+308
al1805,18:38:16,14445,14365,14415,289812,14365,14500,14365,135000,9.74704e+09,302108,1.79769e+308,1.79769e+308
al1805,18:38:17,14445,14365,14415,289812,14365,14500,14365,135000,9.74704e+09,302108,1.79769e+308,1.79769e+308
al1805,18:38:19,14445,14365,14415,289812,14365,14500,14365,135000,9.74704e+09,302108,1.79769e+308,1.79769e+308
